AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.21.0.3. Set the 'ServerName' directive globally to suppress this message
[Mon Dec 15 20:05:03.410607 2025] [php:warn] [pid 59] [client 172.21.0.1:42248] PHP Warning:  Undefined variable $data_newest_pants in /var/www/html/Views/home/pants.php on line 7
[Mon Dec 15 20:05:03.410619 2025] [php:warn] [pid 59] [client 172.21.0.1:42248] PHP Warning:  foreach() argument must be of type array|object, null given in /var/www/html/Views/home/pants.php on line 7
[Mon Dec 15 20:05:03.410863 2025] [php:warn] [pid 55] [client 172.21.0.1:41896] PHP Warning:  Undefined variable $data_newest_shoes in /var/www/html/Views/home/newProduct.php on line 3
[Mon Dec 15 20:05:03.410872 2025] [php:warn] [pid 55] [client 172.21.0.1:41896] PHP Warning:  foreach() argument must be of type array|object, null given in /var/www/html/Views/home/newProduct.php on line 3
[Mon Dec 15 20:05:03.410968 2025] [php:warn] [pid 74] [client 172.21.0.1:42064] PHP Warning:  Undefined variable $data_banner in /var/www/html/Views/home/banner.php on line 6
[Mon Dec 15 20:05:03.411004 2025] [php:error] [pid 74] [client 172.21.0.1:42064] PHP Fatal error:  Uncaught TypeError: sizeof(): Argument #1 ($value) must be of type Countable|array, null given in /var/www/html/Views/home/banner.php:6\nStack trace:\n#0 {main}\n  thrown in /var/www/html/Views/home/banner.php on line 6
[Mon Dec 15 20:05:03.411786 2025] [php:warn] [pid 40] [client 172.21.0.1:41790] PHP Warning:  Undefined variable $listProductTypeShoes in /var/www/html/Views/home/typicalShoes.php on line 5
[Mon Dec 15 20:05:03.411799 2025] [php:warn] [pid 40] [client 172.21.0.1:41790] PHP Warning:  foreach() argument must be of type array|object, null given in /var/www/html/Views/home/typicalShoes.php on line 5
[Mon Dec 15 20:05:03.411802 2025] [php:warn] [pid 40] [client 172.21.0.1:41790] PHP Warning:  Undefined variable $data_outstanding_product in /var/www/html/Views/home/typicalShoes.php on line 12
[Mon Dec 15 20:05:03.411824 2025] [php:warn] [pid 41] [client 172.21.0.1:41744] PHP Warning:  Undefined variable $listProductTypeAccessories in /var/www/html/Views/home/accessories.php on line 5
[Mon Dec 15 20:05:03.411835 2025] [php:warn] [pid 41] [client 172.21.0.1:41744] PHP Warning:  foreach() argument must be of type array|object, null given in /var/www/html/Views/home/accessories.php on line 5
[Mon Dec 15 20:05:03.411838 2025] [php:warn] [pid 41] [client 172.21.0.1:41744] PHP Warning:  Undefined variable $data_newest_accessories in /var/www/html/Views/home/accessories.php on line 12
[Mon Dec 15 20:05:03.411840 2025] [php:warn] [pid 41] [client 172.21.0.1:41744] PHP Warning:  foreach() argument must be of type array|object, null given in /var/www/html/Views/home/accessories.php on line 12
[Mon Dec 15 20:05:03.412449 2025] [php:warn] [pid 68] [client 172.21.0.1:42214] PHP Warning:  Undefined variable $data_banner in /var/www/html/Views/home/banner.php on line 6
[Mon Dec 15 20:05:03.412489 2025] [php:error] [pid 68] [client 172.21.0.1:42214] PHP Fatal error:  Uncaught TypeError: sizeof(): Argument #1 ($value) must be of type Countable|array, null given in /var/www/html/Views/home/banner.php:6\nStack trace:\n#0 /var/www/html/Views/home/home.php(2): require_once()\n#1 {main}\n  thrown in /var/www/html/Views/home/banner.php on line 6
[Mon Dec 15 20:05:03.412577 2025] [php:warn] [pid 40] [client 172.21.0.1:41790] PHP Warning:  foreach() argument must be of type array|object, null given in /var/www/html/Views/home/typicalShoes.php on line 12
[Mon Dec 15 20:05:03.412599 2025] [php:warn] [pid 30] [client 172.21.0.1:41524] PHP Warning:  Undefined variable $data_newest_shirts in /var/www/html/Views/home/shirts.php on line 7
[Mon Dec 15 20:05:03.412608 2025] [php:warn] [pid 30] [client 172.21.0.1:41524] PHP Warning:  foreach() argument must be of type array|object, null given in /var/www/html/Views/home/shirts.php on line 7
[Mon Dec 15 20:05:03.413323 2025] [php:warn] [pid 42] [client 172.21.0.1:41748] PHP Warning:  Undefined global variable $_SESSION in /var/www/html/Views/profile/profile.php on line 1
[Mon Dec 15 20:05:03.413399 2025] [php:warn] [pid 42] [client 172.21.0.1:41748] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/Views/profile/profile.php on line 1
[Mon Dec 15 20:05:03.413408 2025] [php:warn] [pid 42] [client 172.21.0.1:41748] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/Views/profile/profile.php on line 17
[Mon Dec 15 20:05:03.413411 2025] [php:warn] [pid 42] [client 172.21.0.1:41748] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/Views/profile/profile.php on line 26
[Mon Dec 15 20:05:03.413412 2025] [php:warn] [pid 42] [client 172.21.0.1:41748] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/Views/profile/profile.php on line 37
[Mon Dec 15 20:05:03.413414 2025] [php:warn] [pid 42] [client 172.21.0.1:41748] PHP Warning:  Trying to access array offset on value of type null in /var/www/html/Views/profile/profile.php on line 43
